tool	ceagle 	ceagle 	ceagle 	ceagle 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/AProVE_numeric/TwoWay_true-termination.c	TIMEOUT	300.761842792	299.77786073088646	85508096
C/AProVE_numeric/svcomp_Ackermann01_true-termination_modified_modified.c	ERROR (3)	70.933783888	70.62962865363806	34172928
C/AProVE_numeric/svcomp_Addition01_true-termination_modified.c	TIMEOUT	300.776266652	299.4170913733542	102498304
C/AProVE_numeric/svcomp_EvenOdd01_true-termination_modified.c	ERROR (3)	8.978330016	8.938624356873333	8437760
C/AProVE_numeric/svcomp_Fibonacci01_true-termination_modified.c	ERROR (3)	10.134007996	10.08930369373411	8867840
C/AProVE_numeric/svcomp_MultCommutative_true-termination_modified.c	ERROR (3)	124.888387277	124.35200174432248	53776384
C/AProVE_numeric/svcomp_gcd01_true-termination_modified.c	ERROR (3)	35.104864214	34.953167121857405	19451904
C/AProVE_numeric/svcomp_recHanoi02_true-termination_modified.c	ERROR (3)	16.400953202	16.329529592767358	11812864
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c	ERROR (3)	5.669863232	5.644904911518097	8216576
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c	ERROR (3)	9.168653745	9.129701097495854	8491008
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c	ERROR (3)	10.262025202	10.216520983725786	9273344
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c	ERROR (3)	15.11803968	15.058156812563539	10911744
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c	ERROR (3)	7.564031539	7.532158018089831	8216576
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c	TIMEOUT	300.797374105	299.6123060360551	144306176
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c	true	101.621493506	101.07349318172783	53194752
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c	TIMEOUT	300.791416823	299.61531273741275	137322496
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-random1d_true-termination.c	TIMEOUT	300.79674901	299.59887478966266	138633216
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c	TIMEOUT	300.796079384	299.60499765351415	199901184
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination.c	TIMEOUT	300.845161657	299.39215941075236	159006720
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c	TIMEOUT	300.799471718	299.5241731759161	180989952
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c	TIMEOUT	300.801535844	299.5495121674612	160079872
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c	ERROR (3)	6.871322888	6.841364360414445	8065024
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c	ERROR (3)	5.679994086	5.652315487153828	8089600
