tool	kittel 	kittel 	kittel 	kittel 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/AProVE_numeric/Et3_true-termination.c	true	0.338394453	0.33720449171960354	7602176
C/AProVE_numeric/Et4_true-termination.c	TIMEOUT	300.681945843	300.70847373548895	205578240
C/AProVE_numeric/LeUserDefRec_true-termination.c	true	0.377395825	0.37583403661847115	7598080
C/AProVE_numeric/LogRecursive_true-termination.c	true	0.656021736	0.6531035481020808	7589888
C/AProVE_numeric/Parts_true-termination.c	true	1.084720286	1.0801845164969563	7798784
C/AProVE_numeric/TerminatorRec02_true-termination.c	true	0.262017344	0.2611825903877616	7884800
C/AProVE_numeric/TwoWay_true-termination.c	TIMEOUT	300.683334224	300.70629741437733	84307968
C/AProVE_numeric/svcomp_Ackermann01_true-termination_modified_modified.c	TIMEOUT	300.798329713	299.5637480802834	36368384
C/AProVE_numeric/svcomp_Addition01_true-termination_modified.c	true	0.492087153	0.490375317633152	7970816
C/AProVE_numeric/svcomp_EvenOdd01_true-termination_modified.c	TIMEOUT	300.684673117	300.6987218046561	90656768
C/AProVE_numeric/svcomp_Fibonacci01_true-termination_modified.c	true	0.399877426	0.3985635358840227	8019968
C/AProVE_numeric/svcomp_MultCommutative_true-termination_modified.c	true	0.451375412	0.44960256945341825	7831552
C/AProVE_numeric/svcomp_gcd01_true-termination_modified.c	true	0.488503294	0.4867064328864217	8019968
C/AProVE_numeric/svcomp_recHanoi02_true-termination_modified.c	TIMEOUT	300.683551638	300.7047320306301	86642688
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c	true	0.637472005	0.6349529987201095	7860224
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c	true	0.370347551	0.36881858110427856	8015872
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c	true	5.904623972	5.8912725960835814	14987264
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c	true	3.409467972	3.3969867061823606	31633408
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c	true	0.570314483	0.5677162725478411	7737344
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c	true	0.567056548	0.5650179879739881	7892992
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c	true	0.297149179	0.29639773163944483	8015872
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c	true	0.483280527	0.4813701696693897	7733248
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-random1d_true-termination.c	true	0.298443791	0.2974628359079361	7720960
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c	TIMEOUT	300.683769855	300.6220827596262	52649984
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination.c	false(termination)	0.655066283	0.652394394390285	7974912
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c	true	0.540655375	0.5384492101147771	7847936
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c	TIMEOUT	300.683345383	300.7102411845699	51990528
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c	true	0.321246785	0.32039783522486687	7839744
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c	true	0.446447054	0.44479924999177456	7888896
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination.c	true	0.351273256	0.3500392083078623	7561216
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-wise_true-termination.c	true	0.519068537	0.5161983938887715	7884800
C/SV-COMP_Termination_Category/Avery-FLOPS2006-Table1_true-termination.c	true	0.505818584	0.504309855401516	8015872
C/SV-COMP_Termination_Category/BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c	TIMEOUT	300.682277284	300.70947814080864	335327232
C/SV-COMP_Termination_Category/BradleyMannaSipma-CAV2005-Fig1_true-termination.c	TIMEOUT	300.687805913	300.7003286173567	336826368
C/SV-COMP_Termination_Category/BradleyMannaSipma-ICALP2005-Fig1_true-termination.c	TIMEOUT	300.68489514	300.67079768236727	255418368
C/SV-COMP_Termination_Category/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c	TIMEOUT	300.682837129	300.7057974021882	83841024
C/SV-COMP_Termination_Category/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron1_true-termination.c	true	3.539131374	3.5290764374658465	22736896
C/SV-COMP_Termination_Category/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c	TIMEOUT	300.679924074	300.69911743234843	522338304
C/SV-COMP_Termination_Category/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c	true	3.63445093	3.6322773937135935	82935808
C/SV-COMP_Termination_Category/ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c	true	0.25974839	0.2589699849486351	7589888
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex1.02_true-termination.c	true	0.325261155	0.32409530878067017	7581696
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c	true	0.30647636	0.30539361853152514	8015872
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c	true	0.310374	0.30948181822896004	7741440
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c	true	0.251171774	0.25031342543661594	8015872
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.01_true-termination.c	true	0.373611957	0.37245426420122385	7979008
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c	TIMEOUT	300.681838942	300.70728529803455	38121472
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.05_false-termination.c	false(termination)	0.614727208	0.6126913856714964	7999488
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c	true	0.36567932	0.36428238824009895	7880704
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.08_true-termination.c	true	0.403126497	0.4017002237960696	7888896
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.10_true-termination.c	true	0.218068771	0.21732348017394543	7581696
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c	true	0.266154334	0.265219428576529	7872512
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.16_true-termination.c	true	0.264021128	0.26337413024157286	7733248
