tool	ctrl 	ctrl 	ctrl 	ctrl 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/AProVE_memory_unsafe/svcomp_selectionsort_unsafe.c	ERROR (2)	0.012624965	0.012870825827121735	1769472
C/AProVE_memory_unsafe/svcomp_stroeder1_unsafe.c	ERROR (2)	0.011833651	0.012016777880489826	1638400
C/AProVE_memory_unsafe/svcomp_stroeder2_unsafe.c	ERROR (2)	0.012353982	0.012594930827617645	1757184
C/AProVE_numeric/Avg_true-termination.c	ERROR (2)	0.011352709	0.011588345281779766	1605632
C/AProVE_numeric/Binomial_true-termination.c	ERROR (2)	0.012388261	0.012599506415426731	1761280
C/AProVE_numeric/Et1_true-termination.c	ERROR (2)	0.012265687	0.012517333962023258	1454080
C/AProVE_numeric/Et2_true-termination.c	ERROR (2)	0.012873221	0.013094398193061352	1507328
C/AProVE_numeric/Et3_true-termination.c	ERROR (2)	0.011365832	0.011580616235733032	1613824
C/AProVE_numeric/Et4_true-termination.c	ERROR (2)	0.012789713	0.013000459410250187	1724416
C/AProVE_numeric/LeUserDefRec_true-termination.c	ERROR (2)	0.012216043	0.012467573396861553	1601536
C/AProVE_numeric/LogRecursive_true-termination.c	ERROR (2)	0.011463189	0.011715271510183811	1769472
C/AProVE_numeric/Parts_true-termination.c	ERROR (2)	0.012771582	0.012992455624043941	1605632
C/AProVE_numeric/TerminatorRec02_true-termination.c	ERROR (2)	0.012843234	0.013097207993268967	3379200
C/AProVE_numeric/TwoWay_true-termination.c	ERROR (2)	0.012322366	0.012565070763230324	1622016
C/AProVE_numeric/svcomp_Ackermann01_true-termination_modified_modified.c	ERROR (2)	0.013467205	0.01367836631834507	3502080
C/AProVE_numeric/svcomp_Addition01_true-termination_modified.c	ERROR (2)	0.011964088	0.012137365527451038	3506176
C/AProVE_numeric/svcomp_EvenOdd01_true-termination_modified.c	ERROR (2)	0.012667227	0.012937490828335285	1605632
C/AProVE_numeric/svcomp_Fibonacci01_true-termination_modified.c	ERROR (2)	0.012840669	0.013035637326538563	1613824
C/AProVE_numeric/svcomp_MultCommutative_true-termination_modified.c	ERROR (2)	0.012586046	0.012814207002520561	1638400
C/AProVE_numeric/svcomp_gcd01_true-termination_modified.c	ERROR (2)	0.011385678	0.011604617349803448	1626112
C/AProVE_numeric/svcomp_recHanoi02_true-termination_modified.c	ERROR (2)	0.012614504	0.012876404449343681	1753088
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c	ERROR (2)	0.011129275	0.01137439627200365	1613824
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c	ERROR (2)	0.012672607	0.012877337634563446	1765376
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c	ERROR (2)	0.012021871	0.012276016175746918	1630208
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c	ERROR (2)	0.011728681	0.011865661479532719	1355776
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c	ERROR (2)	0.012834483	0.013048541732132435	1769472
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c	ERROR (2)	0.0125674	0.012834982946515083	1642496
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c	ERROR (2)	0.011136872	0.011480923742055893	1736704
