tool	AProVE 	AProVE 	AProVE 	AProVE 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-random1d_true-termination.c	true	33.620585399	6.713841343298554	2205978624
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c	TIMEOUT	300.43972426	272.7612085286528	5184749568
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination.c	true	21.803875494	4.033079632557929	818581504
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c	true	30.403146462	6.487564439885318	2035273728
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c	true	21.258508641	3.7582626454532146	767537152
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c	true	16.164503175	3.254708065651357	527286272
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c	true	19.993290936	3.8017330644652247	1196994560
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination.c	true	16.95051354	3.3214282263070345	728924160
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-wise_true-termination.c	TIMEOUT	300.069316295	277.68638919945806	5179461632
C/SV-COMP_Termination_Category/Avery-FLOPS2006-Table1_true-termination.c	true	29.14030139	6.037884847261012	1320194048
C/SV-COMP_Termination_Category/BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c	TIMEOUT	301.379408837	123.30238886270672	7141502976
C/SV-COMP_Termination_Category/BradleyMannaSipma-CAV2005-Fig1_true-termination.c	true	62.685269636	10.012813244946301	3536965632
C/SV-COMP_Termination_Category/BradleyMannaSipma-ICALP2005-Fig1_true-termination.c	TIMEOUT	306.301724743	122.23608800396323	5603319808
C/SV-COMP_Termination_Category/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c	TIMEOUT	307.095119133	43.41613819077611	5842558976
C/SV-COMP_Termination_Category/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron1_true-termination.c	true	46.55235705	8.47834954597056	2337595392
C/SV-COMP_Termination_Category/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c	TIMEOUT	306.370588522	45.69596379902214	7394177024
C/SV-COMP_Termination_Category/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c	TIMEOUT	300.534479103	268.9440744156018	5185232896
C/SV-COMP_Termination_Category/ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c	true	35.064033028	6.648231132887304	2127187968
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex1.02_true-termination.c	true	12.681603695	2.6589191863313317	446726144
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c	true	4.846824233	1.5367340864613652	256614400
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c	true	9.842646635	2.2917301654815674	379138048
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c	true	9.67504278	2.2788233486935496	373673984
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.01_true-termination.c	true	17.564537056	3.2963773692026734	633831424
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c	TIMEOUT	307.826128904	40.43136642407626	8528822272
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.05_false-termination.c	ERROR (1)	11.538568648	2.5043576192110777	426848256
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c	true	14.187494965	2.818716576322913	503197696
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.08_true-termination.c	true	16.859579061	3.2868252638727427	628195328
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.10_true-termination.c	true	14.389077888	2.8355317460373044	501432320
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c	TIMEOUT	307.779699199	40.292055329307914	7808995328
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.16_true-termination.c	true	10.076431185	2.3397133741527796	363810816
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.17_false-termination.c	TIMEOUT	307.372797644	41.39185355510563	5314052096
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.20_true-termination.c	true	11.390979272	2.4671849934384227	379375616
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.22_true-termination.c	true	11.433361107	2.5593425715342164	403296256
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.01_true-termination.c	true	11.963834961	2.5478185676038265	404938752
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.03_true-termination.c	true	36.767523691	5.90696472581476	1757945856
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c	true	30.744311797	5.494679531082511	899567616
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c	true	30.668718667	5.279397686012089	968581120
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.08_true-termination.c	true	23.338400469	4.090665825642645	669900800
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c	true	14.586145629	3.018830493092537	544747520
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c	true	31.465510341	5.41448128875345	1084702720
C/SV-COMP_Termination_Category/CookSeeZuleger-TACAS2013-Fig1_true-termination.c	true	26.999138195	4.956991511397064	1428480000
C/SV-COMP_Termination_Category/CookSeeZuleger-TACAS2013-Fig7a_true-termination.c	true	40.468793783	7.480252467095852	2272763904
C/SV-COMP_Termination_Category/CookSeeZuleger-TACAS2013-Fig7b_true-termination.c	true	96.011145108	16.211529553867877	5554057216
C/SV-COMP_Termination_Category/GopanReps-CAV2006-Fig1a_true-termination.c.c	true	15.647137452	3.196254868991673	528998400
C/SV-COMP_Termination_Category/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c	TIMEOUT	306.56079731	64.79012134112418	5910220800
C/SV-COMP_Termination_Category/HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c	true	84.204203276	21.26258019451052	4702433280
C/SV-COMP_Termination_Category/HarrisLalNoriRajamani-SAS2010-Fig2_false-termination.c	false(termination)	157.172055548	40.95322122052312	5365927936
C/SV-COMP_Termination_Category/HarrisLalNoriRajamani-SAS2010-Fig3_true-termination.c	true	13.150895286	2.824955390766263	662564864
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c	ERROR (1)	21.148336317	3.762553027831018	655372288
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination.c	true	9.667203689	2.214498004876077	355291136
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig6_true-termination.c	true	16.086824656	3.0926463613286614	488534016
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig7_true-termination.c	true	29.966854823	5.25395068526268	850386944
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c	TIMEOUT	308.090574747	54.58349477034062	8573964288
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination.c	TIMEOUT	308.198500452	57.73585568834096	9854451712
C/SV-COMP_Termination_Category/HenzingerJhalaMajumdarSutre-POPL2002-LockingExample_false-termination.c	TIMEOUT	307.896042406	51.20661711227149	7100956672
C/SV-COMP_Termination_Category/KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex_true-termination.c	true	19.111355011	3.6530663892626762	1158922240
C/SV-COMP_Termination_Category/KroeningSharyginaTsitovichWintersteiger-CAV2010-Fig1_true-termination.c	TIMEOUT	300.388632908	275.3179925661534	5155348480
C/SV-COMP_Termination_Category/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c	TIMEOUT	307.602022344	43.89235805533826	7208128512
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex1_true-termination.c	true	30.663250297	7.332105258479714	1975287808
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex2_true-termination.c	true	26.845013517	4.924622192978859	791179264
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex3_true-termination.c	true	35.458039776	12.493655315600336	3628544000
